Tarih;Açýklama;Ýþlem Tutarý;Bakiye
29.08.2025;Gönd: ANTALYA ALANYA ANAOKULU ALANYA GÝDEN EFT - ANTALYA ALANYA ANAOKULU ALANYA TARAFINDAN ALANYA ÖZKAN KIRTASÝYE MAT.YA;12380,04;651.292,95
29.08.2025;REGÝOCOM 30/05/2025 OZE2025000001187 NL FT REGÝOCOM ÝLETÝÞÝM MERKEZÝ ANON REGÝOCOM ÝLETÝÞÝM MERKEZÝ ANONÝM ÞÝRKETÝ Ope;2835,00;638.912,91
28.08.2025;Gönd: ALANYA AYTUR TURÝZMVE TÝCARET A. Þ. CARI HESABA MAHSUBEN ÖDEME 0012-HALK BANKASI;13000,00;636.077,91
26.08.2025;Gönd: AKÇELÝK TURÝZM OTELCÝLÝK A.Þ. CLUB NENA ÖDEME 0012-HALK BANKASI;5578,98;623.077,91
26.08.2025;ÖDEME Borçlu Müþ= ALANYA BELEDÝYE BAÞKANLIÐI Alacaklý Müþ= 55976192-5004 ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC.SAN.LTD;67559,03;617.498,93
25.08.2025;Gönd: OPAL YAPI-ÝNÞAAT MALZEMELERÝ PAZARL 0062-Türkiye Garanti Bankasý A.Þ. FAST iþlemi;1150,00;549.939,9
25.08.2025;ÖZKAN KIRTASÝYE FT BEDELÝ CÝTY SERENÝTY RESÝDENCE CÝTY SERENÝTY RESÝDENCE TOPLU YAPISI Ýnternet Havale;4260,00;548.789,9
22.08.2025;Gönd: CLUB PARADÝSO CARI HESAP ÖDEMESI ALANYA ÖZKAN KIRTASÝYE MAT. YAY. ÝNÞ. TÝC 0032-T.EKONOMÝ BANKASI A.S.;25841,94;544.529,9
22.08.2025;Gönd: GÜR GRUP ÝNÞAAT SANAYÝ VE TÝCA VNO:480525636 ALANYA ÖZKAN KIRTASÝYE MA 0134-DENÝZBANK A.Þ.;49969,29;518.687,96
22.08.2025;Gönd: SÝNEM NUR KAYA OZE20252100 FAT.ISTINADEN ODEME (MINA TURIZM) 0111-QNB Bank A.Þ. FAST iþlemi;936,76;468.718,67
