Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31/08/2025;1801374784X310825210725PEÞÝNSATIÞ;35259,90;1.535.558,99
31/08/2025;1801374784X310825300725PEÞÝNSATIÞKATKIPAYI;-1,63;1.500.299,09
31/08/2025;1801374784X310825300725PEÞÝNSATIÞ;325,45;1.500.300,72
31/08/2025;1801374784X310825040725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,51;1.499.975,27
31/08/2025;1801374784X310825040725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-30,21;1.499.976,78
31/08/2025;1801374784X310825040725TAKSÝTSATIÞ;2627,52;1.500.006,99
31/08/2025;1801374784X310825300825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-1,34;1.497.379,47
31/08/2025;1801374784X310825300825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-26,74;1.497.380,81
31/08/2025;1801374784X310825300825PEÞÝNSATIÞ;1414,95;1.497.407,55
30/08/2025;1801374784X300825200725PEÞÝNSATIÞ;13784,36;1.495.992,60
30/08/2025;1801374784X300825290725PEÞÝNSATIÞKATKIPAYI;-17,09;1.482.208,24
30/08/2025;1801374784X300825290725PEÞÝNSATIÞ;3417,30;1.482.225,33
30/08/2025;1801374784X300825290825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-9,48;1.478.808,03
30/08/2025;1801374784X300825290825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-189,53;1.478.817,51
30/08/2025;1801374784X300825290825PEÞÝNSATIÞ;10029,25;1.479.007,04
30/08/2025;1801374784X300825030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-2,35;1.468.977,79
30/08/2025;1801374784X300825030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-46,96;1.468.980,14
30/08/2025;1801374784X300825030725TAKSÝTSATIÞ;4084,25;1.469.027,10
29/08/2025;1801374784X290825190725PEÞÝNSATIÞ;27923,10;1.464.942,85
29/08/2025;1801374784X290825280725PEÞÝNSATIÞKATKIPAYI;-21,25;1.437.019,75
29/08/2025;1801374784X290825280725PEÞÝNSATIÞ;4249,50;1.437.041,00
29/08/2025;1801374784X290825020625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,40;1.432.791,50
29/08/2025;1801374784X290825020625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-7,96;1.432.791,90
29/08/2025;1801374784X290825020625TAKSÝTSATIÞ;692,83;1.432.799,86
29/08/2025;1801374784X290825020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,81;1.432.107,03
29/08/2025;1801374784X290825020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-16,28;1.432.107,84
29/08/2025;1801374784X290825020725TAKSÝTSATIÞ;1416,50;1.432.124,12
29/08/2025;1801374784X290825280825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-5,62;1.430.707,62
29/08/2025;1801374784X290825280825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-112,42;1.430.713,24
29/08/2025;1801374784X290825280825PEÞÝNSATIÞ;5948,90;1.430.825,66
28/08/2025;BSMV POS-1801374784 08/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-1,75;1.424.876,76
28/08/2025;POS-1801374784 08/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-35,00;1.424.878,51
