Tarih;Açýklama;Ýþlem Tutarý;Bakiye
30.04.2025;VERGI-0058 GERÝ KAZANIM KA VD:007201-ÝÇ:0075773-THN:2025042801Mkx0000262-VN:0480525636 ALANYA ÖZKAN KIRTASÝ YE MATBAACIL;-1090,48;210.393,61
30.04.2025;SGK( EMS/BAÐ/SSK)/ 24763010113598210070325000 / ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC.LTD.ÞTÝ 3476147 /S.Öde Tr: 30.;-30315,93;211.484,09
30.04.2025;SGK( EMS/BAÐ/SSK)/ 24762010110559410070346000 / ALANYA ÖZKAN KIRTASÝYE MATBAACILIK YAY.ÝNÞ.TÝC.LTD.ÞTÝ 3476148 /S.Öde T;-149945,72;241.800,02
30.04.2025;Ýþyeri no:000000000771359,Tutar : 384,6 Komisyon : 0,Bloke No : 1318579689, BT: 06/04/2025, ÇT:29/04/2025;384,60;391.745,74
30.04.2025;Ýþyeri no:000000000771359,Tutar : 146,2 Komisyon : 0,Bloke No : 1318579687, BT: 06/04/2025, ÇT:29/04/2025;146,20;391.361,14
30.04.2025;Ýþyeri no:000000000771359,Tutar : 140 Komisyon : 0,Bloke No : 1318579680, BT: 06/04/2025, ÇT:29/04/2025;140,00;391.214,94
30.04.2025;Ýþyeri no:000000000771359,Tutar : 1058,4 Komisyon : 0,Bloke No : 1318579678, BT: 06/04/2025, ÇT:29/04/2025;1058,40;391.074,94
30.04.2025;Ýþyeri no:000000000771359,Tutar : 2918,6 Komisyon : 0,Bloke No : 1318579686, BT: 06/04/2025, ÇT:29/04/2025;2918,60;390.016,54
30.04.2025;Ýþyeri no:000000000771359,Tutar : 5584,8 Komisyon : 0,Bloke No : 1318579684, BT: 06/04/2025, ÇT:29/04/2025;5584,80;387.097,94
30.04.2025;Ýþyeri no:000000000771359,Tutar : 179,6 Komisyon : 0,Bloke No : 1318579682, BT: 06/04/2025, ÇT:29/04/2025;179,60;381.513,14
